level,dimensions,kg,representation,prompt_type,temperature_label,cq_complexity,n_records,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Invalid_Predictions
kg__representation__prompt_type,kg|representation|prompt_type,gmo,nen,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,gmo,ttl,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,nen,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,enslaved,axiom,cot,,,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__prompt_type,kg|representation|prompt_type,currkg,ttl,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,core_scholar_rich,axiom,cot,,,15,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,ttl,cot,,,30,0.1667,1.0,0.1667,0.2857,1.0,0.1667,0.2857,0
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,axiom,cot,,,30,0.1,1.0,0.1,0.1818,1.0,0.1,0.1818,0
kg__representation__prompt_type,kg|representation|prompt_type,no_kg,nen,cot,,,30,0.2,1.0,0.2,0.3333,1.0,0.2,0.3333,1
kg__representation__temperature_label,kg|representation|temperature_label,enslaved,ttl,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,ttl,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,gmo,ttl,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,currkg,nen,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,gmo,axiom,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,kwg,nen,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,gmo,nen,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,currkg,axiom,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,enslaved,axiom,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,kwg,ttl,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,currkg,ttl,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,axiom,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,core_scholar_rich,nen,,temp0.0,,30,0.9333,1.0,0.9333,0.9655,1.0,0.9333,0.9655,0
kg__representation__temperature_label,kg|representation|temperature_label,enslaved,nen,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,kwg,axiom,,temp0.0,,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__temperature_label,kg|representation|temperature_label,no_kg,axiom,,temp0.0,,60,0.1,1.0,0.1,0.1818,1.0,0.1,0.1818,1
kg__representation__temperature_label,kg|representation|temperature_label,no_kg,nen,,temp0.0,,60,0.15,1.0,0.15,0.2609,1.0,0.15,0.2609,1
kg__representation__temperature_label,kg|representation|temperature_label,no_kg,ttl,,temp0.0,,60,0.1667,1.0,0.1667,0.2857,1.0,0.1667,0.2857,0
kg__representation__cq_complexity,kg|representation|cq_complexity,enslaved,ttl,,,simple,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
kg__representation__cq_complexity,kg|representation|cq_complexity,core_scholar_rich,ttl,,,simple,10,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__representation__cq_complexity,kg|representation|cq_complexity,gmo,ttl,,,simple,10,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__representation__cq_complexity,kg|representation|cq_complexity,currkg,nen,,,moderate,10,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__representation__cq_complexity,kg|representation|cq_complexity,gmo,axiom,,,simple,10,0.8,1.0,0.8,0.8889,1.0,0.8,0.8889,0
kg__representation__cq_complexity,kg|representation|cq_complexity,kwg,nen,,,simple,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
